Date,UserID,TweetID,TweetPol,DescPol,QuotePol,HashPol,RTUserID,QUserID,ReplyUserID,RTweetID
2018-05-16 04:38:25,1453908181,996610801527083008,-0.5,0.0,0,0,None,None,None,None
2018-05-16 04:38:43,467150595,996610877443883008,-0.5,0.0,0,0,395508050,None,None,996610323468701696
2018-05-16 04:53:07,3259247412,996614498663321600,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 04:55:16,931774293234651136,996615041611915265,-0.5,0.0,0,0,None,None,45369558,None
2018-05-16 05:15:00,38737371,996620005746749442,-0.5,0.0,0,0,None,None,None,None
2018-05-16 05:15:00,113376763,996620006203973633,-0.5,0.068,0,0,None,None,None,None
2018-05-16 05:18:55,779504375307743232,996620993106882560,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 05:25:45,875958442497892352,996622713690058752,-0.5,0.0,0,0,395508050,None,None,996610323468701696
2018-05-16 05:49:10,2261115518,996628606758481920,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 05:51:00,848614220451028992,996629065049112576,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 05:54:26,361706922,996629931105832960,-0.5,-0.188,-0.3,0,None,None,None,None
2018-05-16 06:06:03,2529237582,996632851771604994,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 06:07:28,968406171517267968,996633208958566400,-0.5,0.0,0,0,None,None,None,None
2018-05-16 06:09:07,1274159209,996633625599922177,-0.5,0.0,0,0,395508050,None,None,996610323468701696
2018-05-16 06:12:13,818498557502103552,996634405765447683,-0.5,0.5,0,0,395508050,None,None,996610323468701696
2018-05-16 06:19:58,977566542392111104,996636355227734017,-0.5,0.0,-0.438,0,None,None,None,None
2018-05-16 06:40:56,624284115,996641633939566592,-0.5,0.0,0,0,None,None,None,None
2018-05-16 06:45:36,2341058618,996642806025383936,-0.5,0.0,0,0,None,None,1583865109,None
2018-05-16 06:54:04,2856437635,996644937729916929,-0.5,-0.208,0,0,None,None,None,None
